2016/11/05	先負	4
2016/11/06	仏滅	5
2016/11/07	大安	0
2016/11/08	赤口	1
2016/11/09	先勝	2
2016/11/10	友引	3
2016/11/11	先負	4
2016/11/12	仏滅	5
2016/11/13	大安	0
2016/11/14	赤口	1
2016/11/15	先勝	2
2016/11/16	友引	3
2016/11/17	先負	4
2016/11/18	仏滅	5
2016/11/19	大安	0
2016/11/20	赤口	1
2016/11/21	先勝	2
2016/11/22	友引	3
2016/11/23	先負	4
2016/11/24	仏滅	5
2016/11/25	大安	0
2016/11/26	赤口	1
2016/11/27	先勝	2
2016/11/28	友引	3
2016/11/29	大安	0
2016/11/30	赤口	1
2016/12/01	先勝	2
2016/12/02	友引	3
2016/12/03	先負	4
2016/12/04	仏滅	5
2016/12/05	大安	0
2016/12/06	赤口	1
2016/12/07	先勝	2
2016/12/08	友引	3
2016/12/09	先負	4
2016/12/10	仏滅	5
2016/12/11	大安	0
2016/12/12	赤口	1
2016/12/13	先勝	2
2016/12/14	友引	3
2016/12/15	先負	4
2016/12/16	仏滅	5
2016/12/17	大安	0
2016/12/18	赤口	1
2016/12/19	先勝	2
2016/12/20	友引	3
2016/12/21	先負	4
2016/12/22	仏滅	5
2016/12/23	大安	0
2016/12/24	赤口	1
2016/12/25	先勝	2
2016/12/26	友引	3
2016/12/27	先負	4
2016/12/28	仏滅	5
2016/12/29	赤口	1
2016/12/30	先勝	2
2016/12/31	友引	3
